resource,activity,timestamp,role,travel_permit_number,Task,OrganizationalEntity,RequestedAmount,Permit_TaskNumber,Permit_BudgetNumber,Permit_ProjectNumber,project,case,OrganizationalEntity.1,RequestedBudget,Permitid,ActivityNumber
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017/8/9 13:21:42.00,EMPLOYEE,travel permit number 81410,task 79965,organizational unit 65458,3283.814728,task 427,budget 1313,project 5737,project 503,request for payment 81411,organizational unit 65458,6528.458705,travel permit 81409,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by SUPERVISOR,2017/8/16 11:47:38.00,SUPERVISOR,travel permit number 81410,task 79965,organizational unit 65458,3283.814728,task 427,budget 1313,project 5737,project 503,request for payment 81411,organizational unit 65458,6528.458705,travel permit 81409,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by DIRECTOR,2017/8/17 10:17:47.00,DIRECTOR,travel permit number 81410,task 79965,organizational unit 65458,3283.814728,task 427,budget 1313,project 5737,project 503,request for payment 81411,organizational unit 65458,6528.458705,travel permit 81409,UNKNOWN
SYSTEM,Request Payment,2017/8/18 12:37:10.00,UNDEFINED,travel permit number 81410,task 79965,organizational unit 65458,3283.814728,task 427,budget 1313,project 5737,project 503,request for payment 81411,organizational unit 65458,6528.458705,travel permit 81409,UNKNOWN
SYSTEM,Payment Handled,2017/8/21 15:31:15.00,UNDEFINED,travel permit number 81410,task 79965,organizational unit 65458,3283.814728,task 427,budget 1313,project 5737,project 503,request for payment 81411,organizational unit 65458,6528.458705,travel permit 81409,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/3/19 14:55:48.00,EMPLOYEE,travel permit number 43216,UNKNOWN,organizational unit 65456,408.9527886,UNKNOWN,budget 1622,UNKNOWN,project 503,request for payment 43219,organizational unit 65457,851.9849763,travel permit 43215,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/3/19 14:55:50.00,ADMINISTRATION,travel permit number 43216,UNKNOWN,organizational unit 65456,408.9527886,UNKNOWN,budget 1622,UNKNOWN,project 503,request for payment 43219,organizational unit 65457,851.9849763,travel permit 43215,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/3/20 7:27:27.00,SUPERVISOR,travel permit number 43216,UNKNOWN,organizational unit 65456,408.9527886,UNKNOWN,budget 1622,UNKNOWN,project 503,request for payment 43219,organizational unit 65457,851.9849763,travel permit 43215,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/3/23 15:08:25.00,EMPLOYEE,travel permit number 43216,UNKNOWN,organizational unit 65456,408.9527886,UNKNOWN,budget 1622,UNKNOWN,project 503,request for payment 43219,organizational unit 65457,851.9849763,travel permit 43215,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/3/23 15:10:03.00,ADMINISTRATION,travel permit number 43216,UNKNOWN,organizational unit 65456,408.9527886,UNKNOWN,budget 1622,UNKNOWN,project 503,request for payment 43219,organizational unit 65457,851.9849763,travel permit 43215,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/3/28 7:19:37.00,SUPERVISOR,travel permit number 43216,UNKNOWN,organizational unit 65456,408.9527886,UNKNOWN,budget 1622,UNKNOWN,project 503,request for payment 43219,organizational unit 65457,851.9849763,travel permit 43215,UNKNOWN
SYSTEM,Request Payment,2018/3/29 6:06:28.00,UNDEFINED,travel permit number 43216,UNKNOWN,organizational unit 65456,408.9527886,UNKNOWN,budget 1622,UNKNOWN,project 503,request for payment 43219,organizational unit 65457,851.9849763,travel permit 43215,UNKNOWN
SYSTEM,Payment Handled,2018/4/5 15:30:53.00,UNDEFINED,travel permit number 43216,UNKNOWN,organizational unit 65456,408.9527886,UNKNOWN,budget 1622,UNKNOWN,project 503,request for payment 43219,organizational unit 65457,851.9849763,travel permit 43215,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/12/29 11:06:23.00,EMPLOYEE,UNKNOWN,task 152704,organizational unit 65468,26.19642242,UNKNOWN,UNKNOWN,UNKNOWN,project 147649,request for payment 186617,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/12/29 11:06:28.00,ADMINISTRATION,UNKNOWN,task 152704,organizational unit 65468,26.19642242,UNKNOWN,UNKNOWN,UNKNOWN,project 147649,request for payment 186617,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2019/1/3 8:28:23.00,BUDGET OWNER,UNKNOWN,task 152704,organizational unit 65468,26.19642242,UNKNOWN,UNKNOWN,UNKNOWN,project 147649,request for payment 186617,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2019/1/8 8:00:39.00,SUPERVISOR,UNKNOWN,task 152704,organizational unit 65468,26.19642242,UNKNOWN,UNKNOWN,UNKNOWN,project 147649,request for payment 186617,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Request Payment,2019/1/8 8:28:58.00,UNDEFINED,UNKNOWN,task 152704,organizational unit 65468,26.19642242,UNKNOWN,UNKNOWN,UNKNOWN,project 147649,request for payment 186617,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Payment Handled,2019/1/10 16:31:09.00,UNDEFINED,UNKNOWN,task 152704,organizational unit 65468,26.19642242,UNKNOWN,UNKNOWN,UNKNOWN,project 147649,request for payment 186617,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017/11/13 14:48:12.00,EMPLOYEE,travel permit number 78578,task 3140,organizational unit 65463,667.0641129,task 427,budget 3136,project 3137,project 503,request for payment 78579,organizational unit 65455,1211.684335,travel permit 78577,UNKNOWN
STAFF MEMBER,Permit APPROVED by PRE_APPROVER,2017/11/13 14:48:28.00,PRE_APPROVER,travel permit number 78578,task 3140,organizational unit 65463,667.0641129,task 427,budget 3136,project 3137,project 503,request for payment 78579,organizational unit 65455,1211.684335,travel permit 78577,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017/11/15 7:31:53.00,SUPERVISOR,travel permit number 78578,task 3140,organizational unit 65463,667.0641129,task 427,budget 3136,project 3137,project 503,request for payment 78579,organizational unit 65455,1211.684335,travel permit 78577,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017/11/21 14:28:21.00,EMPLOYEE,travel permit number 78578,task 3140,organizational unit 65463,667.0641129,task 427,budget 3136,project 3137,project 503,request for payment 78579,organizational unit 65455,1211.684335,travel permit 78577,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,2017/11/21 14:28:31.00,PRE_APPROVER,travel permit number 78578,task 3140,organizational unit 65463,667.0641129,task 427,budget 3136,project 3137,project 503,request for payment 78579,organizational unit 65455,1211.684335,travel permit 78577,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017/11/22 7:51:03.00,SUPERVISOR,travel permit number 78578,task 3140,organizational unit 65463,667.0641129,task 427,budget 3136,project 3137,project 503,request for payment 78579,organizational unit 65455,1211.684335,travel permit 78577,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by MISSING,2017/11/23 10:43:41.00,MISSING,travel permit number 78578,task 3140,organizational unit 65463,667.0641129,task 427,budget 3136,project 3137,project 503,request for payment 78579,organizational unit 65455,1211.684335,travel permit 78577,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/2/9 7:59:39.00,EMPLOYEE,travel permit number 64209,task 9709,organizational unit 65461,539.7779172,task 427,budget 522,project 9706,project 503,request for payment 64210,organizational unit 65456,2784.958958,travel permit 64208,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/2/9 7:59:48.00,ADMINISTRATION,travel permit number 64209,task 9709,organizational unit 65461,539.7779172,task 427,budget 522,project 9706,project 503,request for payment 64210,organizational unit 65456,2784.958958,travel permit 64208,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/2/13 9:45:58.00,BUDGET OWNER,travel permit number 64209,task 9709,organizational unit 65461,539.7779172,task 427,budget 522,project 9706,project 503,request for payment 64210,organizational unit 65456,2784.958958,travel permit 64208,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/2/15 14:52:53.00,SUPERVISOR,travel permit number 64209,task 9709,organizational unit 65461,539.7779172,task 427,budget 522,project 9706,project 503,request for payment 64210,organizational unit 65456,2784.958958,travel permit 64208,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/3/9 6:36:25.00,EMPLOYEE,travel permit number 64209,task 9709,organizational unit 65461,539.7779172,task 427,budget 522,project 9706,project 503,request for payment 64210,organizational unit 65456,2784.958958,travel permit 64208,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/3/9 6:37:05.00,ADMINISTRATION,travel permit number 64209,task 9709,organizational unit 65461,539.7779172,task 427,budget 522,project 9706,project 503,request for payment 64210,organizational unit 65456,2784.958958,travel permit 64208,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/3/13 13:26:44.00,BUDGET OWNER,travel permit number 64209,task 9709,organizational unit 65461,539.7779172,task 427,budget 522,project 9706,project 503,request for payment 64210,organizational unit 65456,2784.958958,travel permit 64208,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/3/15 16:15:37.00,SUPERVISOR,travel permit number 64209,task 9709,organizational unit 65461,539.7779172,task 427,budget 522,project 9706,project 503,request for payment 64210,organizational unit 65456,2784.958958,travel permit 64208,UNKNOWN
SYSTEM,Request Payment,2018/3/16 9:40:00.00,UNDEFINED,travel permit number 64209,task 9709,organizational unit 65461,539.7779172,task 427,budget 522,project 9706,project 503,request for payment 64210,organizational unit 65456,2784.958958,travel permit 64208,UNKNOWN
SYSTEM,Payment Handled,2018/3/19 16:30:54.00,UNDEFINED,travel permit number 64209,task 9709,organizational unit 65461,539.7779172,task 427,budget 522,project 9706,project 503,request for payment 64210,organizational unit 65456,2784.958958,travel permit 64208,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/7/13 12:29:50.00,EMPLOYEE,travel permit number 66880,task 66884,organizational unit 65461,684.9487967,task 427,budget 659,project 66881,project 503,request for payment 66882,organizational unit 65456,2578.02336,travel permit 66879,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/7/23 7:37:43.00,ADMINISTRATION,travel permit number 66880,task 66884,organizational unit 65461,684.9487967,task 427,budget 659,project 66881,project 503,request for payment 66882,organizational unit 65456,2578.02336,travel permit 66879,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/7/23 13:20:57.00,SUPERVISOR,travel permit number 66880,task 66884,organizational unit 65461,684.9487967,task 427,budget 659,project 66881,project 503,request for payment 66882,organizational unit 65456,2578.02336,travel permit 66879,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/9/5 11:22:04.00,DIRECTOR,travel permit number 66880,task 66884,organizational unit 65461,684.9487967,task 427,budget 659,project 66881,project 503,request for payment 66882,organizational unit 65456,2578.02336,travel permit 66879,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/9/12 12:57:18.00,EMPLOYEE,travel permit number 66880,task 66884,organizational unit 65461,684.9487967,task 427,budget 659,project 66881,project 503,request for payment 66882,organizational unit 65456,2578.02336,travel permit 66879,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/9/12 12:58:29.00,ADMINISTRATION,travel permit number 66880,task 66884,organizational unit 65461,684.9487967,task 427,budget 659,project 66881,project 503,request for payment 66882,organizational unit 65456,2578.02336,travel permit 66879,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/9/13 12:07:17.00,SUPERVISOR,travel permit number 66880,task 66884,organizational unit 65461,684.9487967,task 427,budget 659,project 66881,project 503,request for payment 66882,organizational unit 65456,2578.02336,travel permit 66879,UNKNOWN
SYSTEM,Request Payment,2018/9/13 12:55:39.00,UNDEFINED,travel permit number 66880,task 66884,organizational unit 65461,684.9487967,task 427,budget 659,project 66881,project 503,request for payment 66882,organizational unit 65456,2578.02336,travel permit 66879,UNKNOWN
SYSTEM,Payment Handled,2018/9/17 15:31:15.00,UNDEFINED,travel permit number 66880,task 66884,organizational unit 65461,684.9487967,task 427,budget 659,project 66881,project 503,request for payment 66882,organizational unit 65456,2578.02336,travel permit 66879,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/7/30 8:03:35.00,EMPLOYEE,travel permit number 59273,task 20268,organizational unit 65462,3051.882484,task 427,budget 1922,project 6210,project 503,request for payment 59274,organizational unit 65459,4052.964786,travel permit 59272,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/7/30 8:06:09.00,ADMINISTRATION,travel permit number 59273,task 20268,organizational unit 65462,3051.882484,task 427,budget 1922,project 6210,project 503,request for payment 59274,organizational unit 65459,4052.964786,travel permit 59272,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/7/30 10:07:34.00,SUPERVISOR,travel permit number 59273,task 20268,organizational unit 65462,3051.882484,task 427,budget 1922,project 6210,project 503,request for payment 59274,organizational unit 65459,4052.964786,travel permit 59272,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/8/2 21:36:45.00,DIRECTOR,travel permit number 59273,task 20268,organizational unit 65462,3051.882484,task 427,budget 1922,project 6210,project 503,request for payment 59274,organizational unit 65459,4052.964786,travel permit 59272,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/8/13 9:21:10.00,EMPLOYEE,travel permit number 59273,task 20268,organizational unit 65462,3051.882484,task 427,budget 1922,project 6210,project 503,request for payment 59274,organizational unit 65459,4052.964786,travel permit 59272,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/8/13 9:26:01.00,ADMINISTRATION,travel permit number 59273,task 20268,organizational unit 65462,3051.882484,task 427,budget 1922,project 6210,project 503,request for payment 59274,organizational unit 65459,4052.964786,travel permit 59272,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/8/14 9:28:20.00,SUPERVISOR,travel permit number 59273,task 20268,organizational unit 65462,3051.882484,task 427,budget 1922,project 6210,project 503,request for payment 59274,organizational unit 65459,4052.964786,travel permit 59272,UNKNOWN
SYSTEM,Request Payment,2018/8/14 18:03:49.00,UNDEFINED,travel permit number 59273,task 20268,organizational unit 65462,3051.882484,task 427,budget 1922,project 6210,project 503,request for payment 59274,organizational unit 65459,4052.964786,travel permit 59272,UNKNOWN
SYSTEM,Payment Handled,2018/8/20 15:31:18.00,UNDEFINED,travel permit number 59273,task 20268,organizational unit 65462,3051.882484,task 427,budget 1922,project 6210,project 503,request for payment 59274,organizational unit 65459,4052.964786,travel permit 59272,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/3/29 15:02:10.00,EMPLOYEE,travel permit number 43303,task 32485,organizational unit 65462,3349.803741,task 427,budget 1939,project 32482,project 503,request for payment 43304,organizational unit 65459,5093.098651,travel permit 43302,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/3/29 15:02:13.00,ADMINISTRATION,travel permit number 43303,task 32485,organizational unit 65462,3349.803741,task 427,budget 1939,project 32482,project 503,request for payment 43304,organizational unit 65459,5093.098651,travel permit 43302,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/4/3 9:09:26.00,SUPERVISOR,travel permit number 43303,task 32485,organizational unit 65462,3349.803741,task 427,budget 1939,project 32482,project 503,request for payment 43304,organizational unit 65459,5093.098651,travel permit 43302,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/4/5 5:17:22.00,DIRECTOR,travel permit number 43303,task 32485,organizational unit 65462,3349.803741,task 427,budget 1939,project 32482,project 503,request for payment 43304,organizational unit 65459,5093.098651,travel permit 43302,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/4/15 16:48:46.00,EMPLOYEE,travel permit number 43303,task 32485,organizational unit 65462,3349.803741,task 427,budget 1939,project 32482,project 503,request for payment 43304,organizational unit 65459,5093.098651,travel permit 43302,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by ADMINISTRATION,2018/4/15 16:50:51.00,ADMINISTRATION,travel permit number 43303,task 32485,organizational unit 65462,3349.803741,task 427,budget 1939,project 32482,project 503,request for payment 43304,organizational unit 65459,5093.098651,travel permit 43302,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by EMPLOYEE,2018/4/17 13:15:22.00,EMPLOYEE,travel permit number 43303,task 32485,organizational unit 65462,3349.803741,task 427,budget 1939,project 32482,project 503,request for payment 43304,organizational unit 65459,5093.098651,travel permit 43302,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/4/17 13:32:27.00,EMPLOYEE,travel permit number 43303,task 32485,organizational unit 65462,3349.803741,task 427,budget 1939,project 32482,project 503,request for payment 43304,organizational unit 65459,5093.098651,travel permit 43302,UNKNOWN
